
Initial pcm(0x7EC0) Step = (0) /cnt=25 / F8 FF 31 22 21 02 00 33 56 B8 00 75 87 87 77 00 77 A9 45 55 00 66 55 56 45
;ADPCM5   Step  PcmCode
   12   50      0x5653
   10   49      0x561D
   0   49      0x564E
   2   48      0x5746
   3   48      0x5882
   3   47      0x59BE
   5   47      0x5B82
   5   46      0x5D46
   7   46      0x5F75
   8   48      0x61F0
   6   48      0x643C
   4   47      0x65D3
   8   47      0x688E
   8   49      0x6B49
   6   49      0x6DCF
   6   48      0x7055
   7   48      0x72FB
   6   47      0x7547
   6   47      0x775D
   8   49      0x7A18
   5   49      0x7C3A
   5   48      0x7E5C
   6   48      0x80A8
   5   47      0x8299
   6   47      0x84AF
   6   46      0x86C5
   6   46      0x88AA
   6   45      0x8A8F
 
Initial pcm(0x8C40) Step = (45) /cnt=150 / 00 66 77 89 67 C0 66 67 14 11 DC 66 FF 05 50 FF 89 13 85 67 3B 58 41 FF 20 CF 20 03 44 51 38 70 16 13 A3 C6 32 43 05 00 19 31 06 13 04 08 31 00 52 12 62 03 70 44 24 DE 13 85 06 90 FF 29 62 58 A5 EF 54 16 76 DF 0C 27 47 53 03 33 26 9B 33 32 CC 42 51 74 10 66 12 72 48 46 10 35 06 3A BF C3 03 22 13 34 FC 33 62 23 21 FF A6 12 44 33 CF 68 64 65 FF 0D 90 64 42 10 33 41 92 30 21 99 10 23 32 03 65 00 23 08 18 30 06 20 13 68 C3 14 03 64 84 BC 42 50 45 00
;ADPCM5   Step  PcmCode
  6   45      0x8DFA
   6   44      0x8FB4
   7   44      0x9181
   7   43      0x934E
   9   43      0x9563
   8   45      0x9740
   7   45      0x993E
   6   44      0x9AF8
   6   44      0x9C88
   6   43      0x9E18
   7   43      0x9FBC
   6   42      0xA128
   4   42      0xA20D
   1   41      0xA259
   11   41      0xA214
   11   40      0xA1CF
   6   40      0xA2E0
   6   39      0xA3F1
   1f   39      0xA1A0
   1f   55      0x9F4F
   15   55      0x9B86
   0   54      0x9BDE
   10   54      0x9B8E
   15   53      0x981D
   19   53      0x92B6
   18   55      0x8DE0
   13   55      0x8B78
   11   54      0x8A70
   15   54      0x86FF
   18   56      0x81AD
   17   56      0x7BFE
   16   55      0x7711
   18   55      0x7136
   15   54      0x6D6D
   1   54      0x6E5D
   14   53      0x6B8C
   1f   53      0x62BB
   1f   69      0x59EA
   0   69      0x5B38
   2   68      0x61C1
   10   68      0x6091
   12   67      0x5AA0
   13   67      0x5310
   10   66      0x51FC
   4   66      0x5AD4
   4   65      0x63AC
   11   65      0x60FF
   15   64      0x572C
   0   64      0x57FB
   7   63      0x6427
   6   63      0x6DC0
   11   62      0x6B89
   13   62      0x66D8
   11   61      0x64D6
   3   61      0x691A
   a   67      0x75E9
   2   67      0x7B50
   13   66      0x73C0
   13   66      0x6CE0
   4   65      0x75B8
   5   65      0x7F8B
   0   64      0x806F
   10   64      0x7FA0
   10   63      0x7ED1
   11   63      0x7C9A
   3   62      0x81C5
   6   62      0x8A7D
   10   61      0x89D2
   13   61      0x858E
   1   60      0x8762
   4   60      0x8C60
   0   59      0x8CEE
   1   59      0x8E71
   3   58      0x91F8
   0   58      0x926D
   10   57      0x91F8
   2   57      0x940C
   5   56      0x98A0
   2   56      0x9A85
   1   55      0x9BA8
   3   55      0x9E10
   10   54      0x9DB8
   0   54      0x9E08
   7   53      0xA2B9
   4   53      0xA548
   14   52      0xA2B9
   14   52      0xA065
   2   51      0xA1B0
   3   51      0xA354
   11   50      0xA2A0
   15   50      0xA047
   18   52      0x9CA5
   16   52      0x9948
   0   51      0x998A
   10   51      0x994E
   19   55      0x94D7
   19   55      0x8E4C
   12   54      0x8C94
   12   54      0x8B04
   16   53      0x86F3
   18   53      0x821D
   15   52      0x7EFD
   15   52      0x7C25
   1a   58      0x76B6
   14   58      0x7296
   15   57      0x6D8C
   16   57      0x6823
   11   56      0x66E4
   6   56      0x6BD1
   17   55      0x6622
   1f   55      0x5B76
   1d   67      0x522A
   7   67      0x6260
   2   66      0x67C7
   17   66      0x590A
   14   65      0x5032
   3   65      0x5672
   5   64      0x6045
   3   64      0x65F2
   0   63      0x66C1
   16   63      0x5D28
   12   62      0x5977
   b   62      0x68E5
   9   66      0x75A4
   13   66      0x6EC4
   13   65      0x67E4
   2   65      0x6C5B
   3   64      0x729B
   2   64      0x76A9
   4   63      0x7DF7
   11   63      0x7BC0
   15   62      0x73A1
   4   62      0x79AA
   7   61      0x83B9
   10   61      0x831D
   11   60      0x8149
   2   60      0x840F
   11   59      0x8265
   12   59      0x7FE0
   7   58      0x8770
   8   58      0x8F3B
   14   57      0x8B1B
   16   57      0x85B2
   4   56      0x8971
   5   56      0x8D9C
   3   55      0x9043
   6   55      0x94BC
   0   54      0x9514
   1a   54      0x8E82
   3   53      0x90B2
   f   53      0x9983
   b   61      0xA00D
   13   61      0x9BC9
   10   60      0x9B2D
   2   60      0x9DF3
   2   59      0xA0B9
   3   59      0xA440
   1   58      0xA5C3
   14   58      0xA1A3
   13   57      0x9E6F
   3   57      0xA158
   3   56      0xA441
   12   56      0xA25C
   16   55      0x9D6F
   13   55      0x9B07
   12   54      0x994F
   11   54      0x985F
   12   53      0x96CF
   16   53      0x931D
   1a   59      0x8D24
   12   59      0x8A9F
   11   58      0x891C
   14   58      0x84FC
   14   57      0x80DC
   13   57      0x7DF3
   13   56      0x7B0A
   18   56      0x7499
   16   55      0x6FAC
   14   55      0x6C93
   16   54      0x681A
   5   54      0x6B8B
   6   53      0x6F9C
   1f   53      0x66CB
   1f   69      0x5DFA
   10   69      0x5CAC
   9   73      0x7585
   14   73      0x6449
   16   72      0x4B64
   2   72      0x5418
   4   71      0x63C3
   0   71      0x6558
   1   70      0x6A17
   11   70      0x65C7
   14   69      0x58D4
   2   69      0x5F5D
   9   73      0x7836
   10   73      0x764C
   13   72      0x68E5
   1   72      0x6E1D
   2   71      0x76D1
   10   71      0x753C
   1   70      0x79FB
   3   70      0x840C
   12   69      0x7CDB
   12   69      0x7652
   3   68      0x7F78
   3   68      0x87C9
   10   67      0x8699
   10   67      0x8585
   0   66      0x8699
   13   66      0x7FB9
   2   65      0x84A2
   8   65      0x93D2
   10   64      0x92EE
   18   64      0x8520
   1   63      0x878E
   6   63      0x9127
   0   62      0x91E4
   0   62      0x928F
   2   61      0x95E9
   13   61      0x91A5
   11   60      0x8FD1
   8   60      0x993F
   6   59      0xA075
   14   59      0x9BEB
   11   58      0x9A68
   3   58      0x9D9C
   0   57      0x9E11
   4   57      0xA1D0
   6   56      0xA739
   14   56      0xA3D0
   18   58      0x9D5F
   2   58      0x9FA9
   4   57      0xA3C9
   10   57      0xA35F
   15   56      0x9ECB
   15   56      0x9AA0
   14   55      0x9737
   0   55      0x978F
   10   54      0x9737
 
Initial pcm(0x92C0) Step = (54) /cnt=150 / FF 6A 31 99 63 67 47 17 FB 49 06 5B 2C 0A 00 91 49 3F 7F 9A CC D2 22 22 00 22 20 41 50 30 98 00 21 41 13 63 01 41 53 34 DE 03 44 53 71 FF 27 22 84 43 67 55 06 FC 38 66 4B 3C 09 11 99 24 1D 79 63 CC F8 32 33 01 32 30 52 60 40 9A 01 10 41 13 61 02 32 31 23 DE 14 44 20 71 FB 25 20 87 10 EF 68 44 3F FF 4C 19 2F 0D 24 93 22 4B 19 68 CC F1 30 31 00 63 10 50 50 40 9A 00 11 43 25 61 12 21 22 35 CE 15 35 10 60 FF 15 20 65 11 CF 97 43 67 FF 4C 72 6A 58 15
;ADPCM5   Step  PcmCode
  1a   54      0x8C2E
   16   53      0x881D
   11   53      0x8744
   13   52      0x8548
   19   52      0x805E
   19   56      0x7B74
   13   56      0x78CD
   16   55      0x73E0
   17   55      0x6EB7
   14   54      0x6B9E
   17   54      0x66ED
   1   53      0x67DD
   b   53      0x6E67
   1f   69      0x6596
   19   69      0x4CBD
   4   68      0x5882
   b   68      0x73DA
   15   67      0x66C7
   1c   67      0x4BC1
   2   66      0x5128
   a   66      0x65CB
   0   65      0x66C6
   0   65      0x67AA
   0   64      0x688E
   19   64      0x5921
   4   63      0x606F
   f   63      0x7752
   3   62      0x7C7D
   1f   62      0x67B1
   7   61      0x71C0
   a   61      0x7E8F
   19   65      0x72F8
   2   65      0x776F
   d   77      0x8F8E
   12   77      0x818A
   12   76      0x7386
   2   76      0x8044
   2   75      0x8D02
   10   75      0x8AB1
   10   74      0x8860
   0   74      0x8A7B
   12   73      0x7FF3
   1   73      0x85B1
   4   72      0x96ED
   0   72      0x98AA
   15   71      0x8584
   0   71      0x8719
   3   70      0x922D
   0   70      0x939D
   0   69      0x950D
   1   69      0x98F8
   12   68      0x926F
   11   68      0x8EDF
   4   67      0x9992
   3   67      0xA122
   11   66      0x9DE5
   11   66      0x9AF3
   10   65      0x99F8
   1   65      0x9CA5
   4   64      0xA4AF
   3   64      0xAA5C
   15   63      0xA16F
   14   63      0x9ACA
   3   62      0x9FF5
   3   62      0xA4A6
   10   61      0xA3FB
   14   61      0x9E7E
   14   60      0x9901
   13   60      0x951F
   5   59      0x9B39
   11   59      0x99B6
   17   58      0x9226
   17   58      0x8B47
   12   57      0x88FD
   12   57      0x86E9
   12   56      0x84D5
   14   56      0x816C
   18   58      0x7AFB
   13   58      0x77C7
   14   57      0x73A7
   15   57      0x6F13
   15   56      0x6A7F
   16   56      0x6592
   0   55      0x65F3
   c   55      0x6E8F
   1f   71      0x63E3
   18   71      0x48FA
   3   70      0x540E
   b   70      0x7525
   14   69      0x6832
   1c   69      0x477F
   3   68      0x50A5
   9   68      0x673C
   10   67      0x660C
   11   67      0x62CF
   1   66      0x660C
   14   66      0x5D34
   2   65      0x621D
   d   65      0x7A3C
   11   64      0x778F
   19   64      0x6822
   7   63      0x744E
   3   63      0x7979
   16   62      0x6FE0
   8   62      0x7B48
   f   78      0x9014
   12   78      0x80A9
   13   77      0x6B13
   3   77      0x7EB2
   3   76      0x9251
   11   76      0x8AAC
   10   75      0x8820
